Artist,Style,AI_Mean,Human_Mean,Diff,Samples
henri-de-toulouse-lautrec,Post-Impressionism,0.8399312011897564,0.5514345541596413,0.2884966470301151,2
konstantin-makovsky,Other,0.8885317966341972,0.6013656059900919,0.2871661906441053,3
antoine-pesne,Other,0.7129315709074339,0.5204149807492892,0.1925165901581447,3
pablo-picasso,Cubism/Modernism,0.9321874417364597,0.7419603280723095,0.19022711366415024,4
felicien-rops,Other,0.9889650899567641,0.7998135387897491,0.189151551167015,2
caspar-david-friedrich,Romanticism,0.9842201845409969,0.8115707958738009,0.17264938866719604,3
john-singer-sargent,Other,0.9709983909502625,0.8136526871472597,0.15734570380300283,5
raphael-kirchner,Other,0.8679142271478971,0.7113912738859653,0.15652295326193177,3
maurice-prendergast,Impressionism,0.8815442526247352,0.7388679627329111,0.14267628989182413,4
marc-chagall,Surrealism,0.8580160033889115,0.7236105371266603,0.13440546626225114,4
konstantin-somov,Symbolism,0.7275379399458567,0.6179315857589245,0.10960635418693221,3
nicholas-roerich,Symbolism,0.8520390641772084,0.7557240799069405,0.09631498427026797,9
claude-monet,Impressionism,0.9066542650107294,0.8148864086251706,0.09176785638555884,8
antoine-watteau,Other,0.973967380511264,0.8835607667764028,0.09040661373486114,3
ivan-shishkin,Realism,0.8701947970936695,0.7881703997651736,0.08202439732849598,3
theodore-gericault,Romanticism,0.7148814176519712,0.6334220717350642,0.08145934591690707,3
edouard-cortes,Other,0.9846841904024283,0.9056877366577586,0.07899645374466968,3
pierre-auguste-renoir,Impressionism,0.800279748630904,0.7342618668141464,0.0660178818167576,12
pyotr-konchalovsky,Other,0.8891420054715127,0.8322462027426809,0.05689580272883177,8
fernando-botero,Other,0.9603520669043064,0.9125159056857228,0.047836161218583584,2
gustave-dore,Other,0.8612456917762756,0.8135860554873944,0.04765963628888126,5
edgar-degas,Impressionism,0.7347558131441474,0.688466856877009,0.04628895626713836,3
fyodor-bronnikov,Other,0.9006017632782459,0.8627778440713882,0.03782391920685768,2
ivan-aivazovsky,Romanticism,0.8503813184797764,0.8344311824068427,0.01595013607293372,5
david-burliuk,Other,0.8781736927727858,0.8650437779724598,0.013129914800325992,3
valentin-serov,Other,0.9010547883808613,0.889389093965292,0.011665694415569305,3
albrecht-durer,Renaissance,0.8228431567586085,0.812526392750442,0.010316764008166501,4
berthe-morisot,Impressionism,0.940391198421518,0.9322688194612662,0.008122378960251808,3
vincent-van-gogh,Post-Impressionism,0.7705433856961983,0.764922789364521,0.00562059633167733,14
hans-holbein-the-younger,Other,0.8915300089865923,0.892850523814559,-0.00132051482796669,2
eugene-boudin,Other,0.842304639518261,0.8501047343015671,-0.007800094783306122,4
ivan-bilibin,Other,0.9477997701615095,0.9706643149256706,-0.02286454476416111,2
camille-pissarro,Impressionism,0.6176054969429969,0.6500313058495522,-0.03242580890655522,5
kuzma-petrov-vodkin,Other,0.9502461633334557,0.9896544289464752,-0.039408265613019466,3
gustav-klimt,Symbolism/Art Nouveau,0.62082190066576,0.6806218028068542,-0.05979990214109421,2
ivan-kramskoy,Realism,0.8510061278939247,0.9142548544332385,-0.0632487265393138,2
william-merritt-chase,Other,0.6980327637866139,0.7803066307678819,-0.08227386698126793,4
isaac-levitan,Realism,0.6278955315550169,0.8080591522157192,-0.18016362066070235,3
salvador-dali,Surrealism,0.5529008011023203,0.7569350581616163,-0.204034257059296,3
ilya-repin,Realism,0.67094033335646,0.9125239923596382,-0.24158365900317824,3
